# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
  [pre-svc  idx=1081] vec=77 OFF B addr=001dc val=77
  [pre-svc  idx=1082] vec=77 OFF B addr=001dd val=10
  [pre-svc  idx=1084] vec=77 SEG B addr=001de val=00
  [pre-svc  idx=1085] vec=77 SEG B addr=001df val=f0
  [pre-svc  idx=1162] vec=80 OFF B addr=00200 val=80
  [pre-svc  idx=1163] vec=80 OFF B addr=00201 val=10
  [pre-svc  idx=1165] vec=80 SEG B addr=00202 val=00
  [pre-svc  idx=1166] vec=80 SEG B addr=00203 val=f0
  [pre-svc  idx=21501] vec=00 OFF B addr=00000 val=ff
  [pre-svc  idx=21502] vec=00 OFF B addr=00001 val=ef
  [pre-svc  idx=21506] vec=00 OFF B addr=00000 val=00
  [pre-svc  idx=21507] vec=00 OFF B addr=00001 val=10
  [pre-svc  idx=21595] vec=00 OFF B addr=00000 val=ff
  [pre-svc  idx=21596] vec=00 OFF B addr=00001 val=ef
  [pre-svc  idx=21600] vec=00 OFF B addr=00000 val=00
  [pre-svc  idx=21601] vec=00 OFF B addr=00001 val=10
  [pre-svc  idx=50132] vec=80 OFF B addr=00200 val=14
  [pre-svc  idx=50133] vec=80 OFF B addr=00201 val=3e
  [pre-svc  idx=50135] vec=80 SEG B addr=00202 val=f2
  [pre-svc  idx=50136] vec=80 SEG B addr=00203 val=19
  [pre-svc  idx=50194] vec=00 OFF B addr=00000 val=1a
  [pre-svc  idx=50195] vec=00 OFF B addr=00001 val=3e
  [pre-svc  idx=50197] vec=00 SEG B addr=00002 val=f2
  [pre-svc  idx=50198] vec=00 SEG B addr=00003 val=19
  [pre-svc  idx=50256] vec=02 OFF B addr=00008 val=20
  [pre-svc  idx=50257] vec=02 OFF B addr=00009 val=3e
  [pre-svc  idx=50259] vec=02 SEG B addr=0000a val=f2
  [pre-svc  idx=50260] vec=02 SEG B addr=0000b val=19
  [pre-svc  idx=50395] vec=08 OFF B addr=00020 val=b4
  [pre-svc  idx=50396] vec=08 OFF B addr=00021 val=3d
  [pre-svc  idx=50398] vec=08 SEG B addr=00022 val=f2
  [pre-svc  idx=50399] vec=08 SEG B addr=00023 val=19
  [pre-svc  idx=51033] vec=09 OFF B addr=00024 val=ba
  [pre-svc  idx=51034] vec=09 OFF B addr=00025 val=3d
  [pre-svc  idx=51036] vec=09 SEG B addr=00026 val=f2
  [pre-svc  idx=51037] vec=09 SEG B addr=00027 val=19
  [pre-svc  idx=70610] vec=00 OFF B addr=00000 val=e5
  [pre-svc  idx=70611] vec=00 OFF B addr=00001 val=c1
  [pre-svc  idx=70615] vec=00 OFF B addr=00000 val=1a
  [pre-svc  idx=70616] vec=00 OFF B addr=00001 val=3e
  [pre-svc  idx=70704] vec=00 OFF B addr=00000 val=e5
  [pre-svc  idx=70705] vec=00 OFF B addr=00001 val=c1
  [pre-svc  idx=70709] vec=00 OFF B addr=00000 val=1a
  [pre-svc  idx=70710] vec=00 OFF B addr=00001 val=3e

## Section 3: All INT events
Total: 314
  INT  vec=19 from=f000:016a AX=0000 BX=1100 CX=0000 DX=f000
  INT  vec=12 from=0000:7c00 AX=0000 BX=1100 CX=0000 DX=f000
  INT  vec=10 from=9000:007f AX=0e45 BX=0007 CX=003c DX=f000
  INT  vec=10 from=9000:007f AX=0e4c BX=0007 CX=003c DX=f000
  INT  vec=10 from=9000:007f AX=0e4b BX=0007 CX=003c DX=f000
  INT  vec=10 from=9000:007f AX=0e53 BX=0007 CX=003c DX=f000
  INT  vec=13 from=9000:00fc AX=0201 BX=0200 CX=0002 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0002 DX=0000
  INT  vec=13 from=9000:00fc AX=0201 BX=03ec CX=0003 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0003 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=07f4 CX=0009 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0009 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=13fa CX=0007 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0007 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=07f4 CX=0009 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0009 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=0500 CX=0409 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0409 DX=0100
  INT  vec=10 from=9000:007f AX=0e2f BX=0007 CX=0409 DX=0000
  INT  vec=10 from=9000:007f AX=0e6c BX=0007 CX=0409 DX=0000
  INT  vec=10 from=9000:007f AX=0e69 BX=0007 CX=0409 DX=0000
  INT  vec=10 from=9000:007f AX=0e6e BX=0007 CX=0409 DX=0000
  INT  vec=10 from=9000:007f AX=0e75 BX=0007 CX=0409 DX=0000
  INT  vec=10 from=9000:007f AX=0e78 BX=0007 CX=0409 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=07f4 CX=0009 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0009 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=1000 CX=040b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=040b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=1400 CX=040d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=040d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=1800 CX=040f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=040f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=1c00 CX=0411 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0411 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=2000 CX=0501 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0501 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=2400 CX=0503 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0503 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=2800 CX=0505 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0505 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=0bf6 CX=0509 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0509 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=2c00 CX=0507 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0507 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=3000 CX=050b DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=050b DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=3400 CX=050d DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=050d DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=3800 CX=050f DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=050f DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=3c00 CX=0511 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0511 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=4000 CX=0501 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0501 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=4400 CX=0503 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0503 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=4800 CX=0505 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0505 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=4c00 CX=0507 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0507 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=5000 CX=0509 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0509 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=5400 CX=050b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=050b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=5800 CX=050d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=050d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=5c00 CX=050f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=050f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=6000 CX=0511 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0511 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=6400 CX=0601 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0601 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=6800 CX=0603 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0603 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=6c00 CX=0605 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0605 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=7000 CX=0607 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0607 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=7400 CX=0609 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0609 DX=0000
